연도,수집구간,제목,내용,날짜,링크
2021,2021.01.01. ~ 2021.12.31.,질문모욕죄 합의금질문,상대방 두명(가족)한테 모욕당했는데요 저희오빠가 지적장애+지체장애우인데 깐히보고 앞집사는 할머니가 대문안에들어갈수없어서 저희 집벽에 가까이 붙여논 휠체어를 치우라고 계속 요구하였습니다 시장바구니가 지나가기 힘들다는 말도 안되는 트집과 핑계로 공용보도폭이 이미터가량되는데 저희집벽에서부터 저희오빠휠체어세워논간격이 그폭이 일미터도 안되는데 .큰리어카도 아니고 씨씨티비 동영상보면ᆞ 충분히 지나가고도 남는데 그리트집을 잡습니다.저희오빠가 지적장애까지 있어서 잘까먹고 다리도 못쓰는것을 알고 우습게여겨 저희집 택배기사들어오라고 잠궈놓지 않은 대문을 열고 현관문까지 오고 그랬어요 저희오빠가 몸이 불편해서 세워놓을곳이 없으니 양해부탁한다면서 음료수까지 따라드렸었는데 비웃으면서 음료수를 땅에 쭉 따라버렸다고 하더라고요 저없을때마다 두차례나 침입했고요 또 제가 경찰에 신고한걸 앙심품었는지 저희오빠가 지적장애가 있어 장난감총과 오락을 엄청좋아하는데 저희집 계단벽 판넬을 과녁삼아 따다다 쐈는데 지네집에 비비탄을 위협적으로 쏜다고 허위신고까지 했어요 참고로 비비탄이 아니고 수정탄 젤리탄이예요 만지면터지는거 사람에게 쏴도 흉터도 안남고 장독대도 깨지못하는~이집사람들 막내아들빼고 다정상이 아녜요 그허위신고하고 한판붙었는데 각자집에서 마주보고 그때 온갖모욕 다들었거든요 그남편 할애비는 양쪽에서 병신들이 왜~~~~(앞집할매의 옆집에도 지적장애인 한명사는데 그분들하고도 이집할매하고 사이가 안좋거든요) 하고 에이~~~~~병신들!!!! 하면서 소리치고 눈치켜뜨고 삿대질하셨고요 앞집할매 큰아들은 절알지도 못하면서 제가여자니까 우습게보고 말짧게 하지말라 수차례 경고했는데 반말찍찍하고 야!!너!!일로와봐!! 야!!너 죽어볼래? 하고 야!!맞짱한번 뜨자 !! 두번이나 얘기하셨고요 ㅎㅎ 물론 동영상 다 찍혔습니다 녹취다됬고. 구경하는 사람들 있어서 모욕죄 인정될거 같다하셨고 보통 이럴경우 통상 합의금 얼마 부르나요. 저 법무사비용만70 교통비는 계산안해봐서 모르겠어요 그둘에게 얼마받아야하나요,작성일2021.07.20,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6020603&docId=395177662&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애1급 기초수급자 의료1급 mri대한질문.,안녕하세요. 다름이 아니고 제가 휠체어를 의존해서 움직여야하는 하반신 마비를 가진 장애자입니다. 전부터 가끔씩 어깨부터 손가락까지 저림현상이 있었는데 요즘 부쩍 심해져서 손가락이 마비까지는 아니고 감각이 없을정도로 심하게 저림현상이 옵니다. 팔이 없으면 휠체어로 거동이 안되는데 휠체어 바퀴 핸들을 잡기 힘듭니다. 목 mri를 찍어보고 싶은데 비용이 너무나 부담되는 부분인지라 이곳에 질문을 드려봅니다. 현재 생계는 기초수급자입니다. 의료수급1급을 받고 있습니다. 조언 부탁 드립니다.,작성일2021.07.18,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=394955578&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문보장구 처방전,2019년 말에 휠체어를 사려구 보장구 처방전을 받았었는데요 2007년도에 무릎관절 수술 하셨고 장애5급이에요. 사정상 그때 휠체어를 못샀는데 지금1년이 넘은시점에 저 보장구 처방전 유효한가요? 의료기기 상사에 바로 가져가도 될까요?,작성일2021.07.16,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=394819033&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문실버 라이프 지원사업 관련 문의,"현재 여러 지자체에서 실버 전용 지원서비스를 하고 있는 것으로 압니다.. 그러나, 개인사업으로서 실버시장을 겨냥한 지원사업을 생각하고 있는데 과거에는 ""무엇이든 도와드립니다"" 라는 서비스사업과 같은 종류가 있었으나, 그와 비슷한 형태로 ""실버전용 지원 개인사업""을 운영하고 싶습니다. 이에 따른 자격 또는 신고 등 행정적인 부문에서 필요한 것이 무엇인지? 자문을 구합니다. 예를 들어 도시에 거주하고 있는 금전적으로나 생활력이 있는 거동이 불편하신 노인분들 또는 장애인 대상으로 - 가고자 하는 장소까지 모셔다 드리고 돌아오거나 (쇼핑, 목욕탕, 병원 등) * 장애 또는 흴체어를 이용하고 계신 분의 경우 ""휠체어전용차량"" 운행 - 시간으로 계약하여 집안 청소, 물품 이동 등 서비스 - 필요한 물품을 대행 주문, 구입 배달 서비스 - 대화가 필요할 경우 친구가 되어 드리는 서비스",작성일2021.07.07,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40702&docId=394089891&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문이런 전동휠체어 어디없나요?,"몇년전에 일본 히메지성의 헤이세이 대수리 해체공사를 보러 장애가 있는 동생이랑 같이 일본을 갔다 왔었습니다. 그때 국제장애인증과 실제 내동생을 보고서는 히메지성 안내소에서 수동겸 보호자전동휠체어를 주더군요. 이게 어떤식이냐면... 겉모양은 일반 수동휠체어랑 같이 생겼습니다. (하부에 모터랑 밧데리는 있습니다.) 단지 여기에 보호자 손잡이 부분이 중량에 맞게 앞뒤로 움직입니다. 간단히 말해서 손잡이를 잡고 평지나 내리막길을 걸어가면 그냥 손잡이 역활만 하는데 오르막길을 오르게 되면 손잡이 부분에 동생의 하중이 실려서 앞으로 움직이게됩니다. (휠체어는 뒤로 밀린다는 표현이겠죠?) 그럼 모터가 작동하여 오르막길을 오르는데 도와주는 역할을 하게됩니다. 이 휠체어가 참 마음에 들었는데, 한국에 들어오고 직장생활 바쁘고 하다보니 잊어먹고 있었는데, 동생이랑 어디 놀러갈때 좋을거 같아서 구매해보려니까 전부다 일반 전동휠체어밖에 없더라구요. 혹시 구매가능한 사이트 알수 있을까요?",작성일2021.07.07,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50802&docId=394064472&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인 휠체어 난간 낮추기 아이디어를 모집합니다.,안녕하세요. 저는 30대 백수나부랭이에 불과하나 지식인 내공은 많이 모아두어 이렇게 아이디어 공모전을 진행하여 봅니다. 주제 : 장애인이 휠체어를 사용할 시 휴대가능한 설치구조물 말 그대로 입니다. 휠체어를 사용하는 장애인들은 집밖으로 나왔을 때 높은 난간을 만나면 매우 힘들다고 합니다. 그럼에도 우리는 이와 같은 문제를 사회적 인식개선을 고치려고만 하였고 정치적으로만 해결하려했던 것 같습니다. 이제 우리도 아이디어를 내어봅시다. 제가 생각하는 아이디어는 휠체어에 수납가능한 휴대용 접이식 설치구조물 입니다. 말 그대로 휠체어 사용자가 높은 난간을 마주했을때 스스로의 힘으로 설치할 수 있는 휴대용 경사로입니다. 이와 관련하여 설치구조물 디자인 또는 관련 솔루션을 답변해주시면 그 중 가장 괜찮다고 생각되는 답변을 채택하는 방식으로 진행하겠습니다. 물론 설치구조물 해결법이 아닌 관련 문제를 해결할 수 있는 아이디어라도 괜찮습니다. 많은 분들의 참여 부탁드립니다. 내공은 넉넉히 제공해드리겠으나 관련성 적은 글이 채택되어야만 하는건 아니라고 생각하기에 채택에는 신중할 수 있다는 점을 양해부탁드립니다. 그리고 지식인 질문의 특성상 일정기한이 지나면 잘 노출되지가 않아 같은 글을 두 서너개 정도 작성하였습니다. 도배글이나 광고글은 아니며 어느정도 합리적인 의견도출이 있었으면 하는 바람에서 진행한 것이니  이 역시도 같은 이유로 양해부탁드립니다.,작성일2021.07.07,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70120&docId=394054348&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문기초수급자 휠체어,안녕하세요.김포시 솔터마을에 살고있는 기초수급자 입니다.제가 다리가 많이 불편하여 휠체어가 필요한데요. 시에서 지원받을수 있을까요? 주민센터에 문의 해야 하나요? 없다면 1대 구입 하려고 하는데요 가격이 얼마나 할까요?.,작성일2021.07.06,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=393966151&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문급해요 ㅠㅠ목디스크 증상 두 팔만 저려요,팔만 저린것도 목기스크 증상인가요?? 제가 일주일정도 휠체어를 끌긴 했는데 그것도 이유에 포함되나요,작성일2021.07.04,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=393847434&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문궁금한게 있는데요 제가 장애 2급인데...,궁금한게 있는데요 제가 장애 2급인데 외쪽 손은 사용할 수 있는데 입원중 전동휠체어를 사용할 수 있는 지 여부를 알고싶습니다,작성일2021.07.03,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=393758273&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인도 연애할수있을까요?,"안녕하세요! 저는 장애가 있는 대학생이에요. 어릴때부터 몸이 약해서, 휠체어를 계속 타고 다녀요. 한창 연애할 나이인데도 모쏠이에요 ㅎㅎㅎ 계속 짝사랑만 하고 끝나곤해요. 고백하고 싶지만, 상대가 부담스로워할까봐 쉽게 못하겠어요.... 장애인들은 어떻게 연애할수있을까요?",작성일2021.07.02,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80101&docId=393690847&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문휠체어를 타야 하는 중증 장애인은 공,휠체어를 타야 하는 중증 장애인(신체만)은 공무원이 될 수 없나요? 손가락도 타이핑이 불가능하지만 폰은 만질 수 있는 정도입니다. 불편한 게 신체적 부위만이기에 의사소통 장애는 전혀 없습니다. 본인은 강렬하게 공직생활을 원하지만 그 분야 아는 것이 하나도 없기에 지식인에서 일단 물어봅니다ㅠ,작성일2021.06.26,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40601&docId=393238308&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애주차증에 대하여,"남편이 2009년도에 뇌졸증으로 입어하여 치료를 받았고 그 때에 눈도 한쪽 왼쪽눈이 실명 되었습니다. 그래서 장애 5등급을 받았습니다. 2019년 전까지만 해도 지팡이를 짚고 버스도 타고 기원 정도는 출입을 했느데 2020년 부터는 앉고 서는 것이 힘들어서 집안에서만 있고 치매 증상도 생겨습니다. 병원과 외출하려면 하도 답답하고 해서 관활 시청애 전화로 문의를 했더니 2가지 이상 장애가 있으며 주차증을 해주니 동사무소에 문의 해서 서류를 하라고해서 어려운 형편에 시티.MR. 지단서 소견서를 제출 했더니 경미한 장애라 안된다고 하는데 7년전이라 사진상 똑같다고 하니. (지금은 남편이 휠체어가 못타면 외출도 못하고 화장실도 넘어져서 온몸에 멍투성이고 하니방에서 소변도 해결하는데)기가 찰니다.항의를 했더니 이의를 신청하라고 해서 마찬가지로 거절입니다 .항의를 했더니 직원이 하는 말이 그럼 소송을 하란다 내가 70평생 살면서 소송을 해본적도 업는데..... 처음에는 분당 서울대 병원을 다녀는데 치료비가 너무 비싸고 부담스러워 동네 신경외과에 다녀는데 별치료가 없고 다녀는데 개인병원이라그런지 인정을 안해주느것 같아요 .왜? 걸음을 못걷느냐고 했더니 뇌의 신경 세포가 막혀서 그런다고 하는데. 여제는 코로나 예방접종 하려 갔는데 1~5층 까지 주차를 못하고 혜머이다보니 너무나 속상하고 억울해서 남편 휠체어탄체로 가서 이게 경미한 장애라못 걷느냐고 울불을 터트리고 따저더니 자기네는 행정상 서류로 하니깐 어쩔 수가 업으니깐 "" 행전 판결을 하던지 행전 소송을""하라고 하라고 하는데 어떤것이 우리에게 유리한지 조언을 부탁드립니다. 이제는 주차증 보다 국민으로서 권리를 찾고싶습니다.",작성일2021.06.25,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=393146349&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애 학생 이동권 침해 사례 자료,"안녕하세요. 사회 숙제인데요.. '학교에 휠체어를 타고 들어갈 수 있는 입구가 한 곳밖에 없고 경사도 가파르기 때문에 장애인들이 이동을 위해 먼 길로 돌아가야 하고, 누군가의 도움 없이는 이용할 수 없다.'에 맞는 자료 좀 찾아 주실 수 있으신가요... ㅠㅠㅠ제가 자료 찾기에는 완전 똥손이라.. 부탁드립니다 ㅠㅠ 꼭 저 내용이 다 안 들어가도 되고 일부만 관련돼도 좋으니까 부탁드려요 ㅠㅠ 꼭 답변 해 주시면 감사하겠습니다 ㅠㅠ 급해서 ㅠㅠ",작성일2021.06.23,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110702&docId=393016109&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문아이가 뇌병변장애가 있는데.. 21일...,"아이가 뇌병변장애가 있는데.. 21일 오후에 화이자백신 1차 접종을 했습니다. 접수를 마치고 엄마아빠가 같이 휠체어 밀고 간호사쌤 한테로 갔고, 아이가 거부하는 손짓을 케어하는 중에 주사를 놨다고 반창고까지 붙여주었는데요.. 너무 순식간이라 주사바늘 들어가는 것도 못보고 둘이 너무 당황스러웠습니다.아이가 말을 못하니 확인도 어렵고, 그렇다고 간호사쌤을 의심하는건 말이 안되고.. 다행히 부작용은 없어서 잘지내고 있습니다만.. 오늘이 3일째라 샤워를 시키는데 어깨에 주사바늘 자국도 없고, 반창고는 새것처럼 깨끗하고.. 이런 경우도 있을까요?",작성일2021.06.23,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=393007104&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문수급자 1급 장애인으로서 자가 운전을 위해 승합차 2200cc를...,"1급 지체 장애인으로서 기초생활 수급자 입니다. 건강상 전동 휠체어로 자가운전을 위해 중고 승합차 2200cc를 개조해 타려고 합니다. 차량은 10년 미만의 가격 800만 원 정도이며 개조비는 1천만 입니다. 승용차는 안 돼서 불가불 승합차를 선택하는데, 이런 경우도 배기량 초과가 기초생활 수급에 문제가 되는지요?",작성일2021.06.19,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=392711855&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문아파트단지내 장애인주차구역,지인 아파트를 방문하여서 주차 했는데 바닥에 장애인주차표시 (휠체어탄모습)그려진곳에 주차를했는데 첨부한 사진(예시사진)처럼 흔히아는 간판이없었고 정해진 규격으로도 그려지지 않았습니다. 주민과 실랑이가 있었눈데 신고한다고했는데 과연 법적효력이있고 신고당할경우 벌금먹을까요?? 항의할려면 해당 구청에다가 이야기하면되나요??,작성일2021.06.13,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060401&docId=392217654&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문왜 대학교에서 군사학과는 장애인전형이 안되나요?,"안녕하세요 저는 대학교 4학년이고 지적장애 3급이고. 고등학생 시절에 인문계 고등학교 특수학급 소속이었으며 대학교는 장애인 전형이 아닌 일반전형으로 입학하였습니다. 그런데 대학교에 장애인전형을 포함한 특수교육대상자 전형이 있다고 해도 왜 군사학과는 장애인 전형이 안되는 걸까요? 지적장애나 자폐성장애, 지체장애 전부 포함해서 말이에요... 그리고  장애인들 중에서도 특히 머리는 일반사람처럼 정상이지만 몸은 휠체어를 탈 정도로 불편한 지체장애인 들 중에서는 직업군인이 꿈인 사람이 약간씩은 존재할것 같은데요.... 솔직히 군사학과가 장애인전형이 안되는 건 제 입장에서는 장애인 차별이라고 생각합니다. 왜 장애인은 대학교에 장애인전형이 있다고 해도 왜 군사학과는 지원이 안 되고 직업군인이 되고 싶어도 절대로 될 수 없는지에 대해서 답변부탁드립니다.",작성일2021.06.08,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=391793208&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문치매 검사비용,"기초생활 수급자 입니다 어머니 치매가 굉장히 심합니다 증상으로 봐선 환시,환청으로 루이체 치매로 보입니다 경제적으로 많이 힘든상태인데, 검사비용 3차까지 할경우 수급자는 얼마정도 일까요??? 먼저 치매안심센터에 가야하나요??? 거동이 불편해 응급차로 모셔야하는데 장애인 콜택시는 휠체어로 기사님이 다 해주시나요?? 아님 개인이 응급차를 부르는게 나을까요? 전번아시면 가르쳐주세요 여러가지 질무늘 두서없이 드려죄송합니다",작성일2021.06.08,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=709&docId=391749820&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인 인권에 대해 사회적 인식 부족...,장애인 인권에 대해 사회적 인식 부족 예시 많이 들어주세요 5개 이상 ㅠㅠㅠㅠㅠ 데발요 내공 어떻게 설정하는지 몰라서 ㅊㅜ가내용 5번 해드릴게요 부탁드립니다 점자 보도블럭 휠체어 갈수있는 버스 빼고 다섯개요 오전 9시까지 해주셔야 채택해드리는점 죄송하빙다ㅠㅠ,작성일2021.06.04,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=61002&docId=391426235&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문허리가 너무 아파용 ㅜㅜ,일단 척추측만이 심해요 척추전만도 있어요 이 두개를 동시에 가진 경우가 드물나요?? 그래서 잘때 정면으로 자도 불편해서 왼쪽으로 누워서 자는데 점점 얼굴형이 변형하는 것 같습니다... 오른쪽으로 자기엔 오른쪽으로 휘어서 아파요 제가 지체장애가 있어 하루종일 휠체어에 앉아있는데 엉치뼈통증도 생겨서 오른쪽 허벅지가 너무 저리고 엉덩이도 너무 아픕니다... 허리디스크도 있는 것 같아요 그래도 학교에선 어쩔 수 없으니 계속 참는데 집오자마자 누워있는데 이때 좀 몸을 풀어줄만한 스트레칭이라던지 없을까요 제가 지체장애라 좀 쉬운 걸로 알려주세요.. 그리고 제가 걸을 수 있는데 걸을때 허리 힘이 안들어가서 배내밀고 걷는데 이때문에 척추전만증이 너무 심합니다 죽는게 낫네요 에휴,작성일2021.06.03,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70120&docId=391342838&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문공익요원  재지정 문의,중증장애인 주무관을 10개월정도 옆에서 근무지원을하는 공익요원입니다 담당주무관은 심각한 장애가 계속 악화되어 복무중 강한스트레스와 업무적 불합리한 근무환경으로 재지정을 받을수있나요? 질병은 근육위축증이라 휠체어를 타야할수준을 뛰어넘었는데 본인의지로 거부하십니다 손에 악력도없어서 지팡이도 못짚으십니다.,작성일2021.05.31,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6030205&docId=391132003&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문휠체어 없이 앉은 채로 입장하기,1급 절단 장애인인 여자친구와 예쁜 연애 끝에 결혼식을 준비하고 있습니다~ 장애가 있어도 당차고 밝은 제 여자친구는 결혼식 날 휠체어 없이 앉은 채로 신부 입장을 해내고 싶어 합니다. 하고 싶은대로 하라며 토닥토닥 북돋아 주었지만 마음 한켠에는 혹시나 힘들지 않을까 걱정스럽기도 합니다. 어떤 보조 장비의 도움 없이 앉아서 움직여야만 하는 자신의 모습 그대로 입장하면서 밝게 웃겠다는 여자친구. 그렇게 하도록 존중해 줘야겠죠?,작성일2021.05.30,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80101&docId=391045513&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애등급 조정이 가능할까요?,제가 희귀 신경 병으로 지체 장애가 생겼는데요..등급이 양쪽손 4급씩 양쪽다리 4급씩 받았어요..그런데..양쪽다리가 무릎밑으로는 감각도없고 전혀 움직이지를 못하거든요..휠체어 타면 가족에게 부담돼기 싫어서 보조기 맞추고 보조기부서져가면서 넘어지고 연습해서 겨우 조금 걷는데..장애등급 신청할때 의사선생님이 보조기하고 걷는다고..그래서 양쪽 각각 4급을 받았어요..증요한건 그래서 중증장애인 교통 수단 이용을 못한다고 하네요..그래서 혹시 등급조정 신청을 하면 3급도 가능 할까요..,작성일2021.05.27,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=390785474&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애등급 조정이 가능할까요,제가 희귀 신경 병으로 지체 장애가 생겼는데요..등급이 양쪽손 4급씩 양쪽다리 4급씩 받았어요..그런데..양쪽다리가 무릎밑으로는 감각도없고 전혀 움직이지를 못하거든요..휠체어 타면 가족에게 부담돼기 싫어서 보조기 맞추고 보조기부서져가면서 넘어지고 연습해서 겨우 조금 걷는데..장애등급 신청할때 의사선생님이 보조기하고 걷는다고..그래서 양쪽 각각 4급을 받았어요..증요한건 그래서 중증장애인 교통 수단 이용을 못한다고 하네요..그래서 혹시 등급조정 신청을 하면 3급도 가능 할까요..,작성일2021.05.26,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=390676308&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애등급갱신,멫년전 어머니께서뇌병변장애4급판정을받았는데 그때는 어느정도걸어다니고 대화도가능하셨습니다. 하지만지금은 침대에서식사는물론대소변다해결하시고 인지기능도떨어져대화도힘든상태입니다 다른건 괜찬은데병원을가려니 휠체어에서 차에태우기가힘든상태가돼서 장애인택시를이용하고싶은데 몇년전받아논장애등긒으론 이용할수가없어 다시받고싶은데 절차가어떻게되나요?,작성일2021.05.25,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=390649099&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문의학용어 결합형 알려주세요!!,"의학용어 결합형마다 /로 나눠주세요!! 결합형이 없는건 없다고 해주세용,,,! 비어었는 의학용어는 관련 단어도 알려주시면 감사하겠습니다ㅜㅜ 최대한 많이 알려주시는분께 내공드릴게요,,,, 급해여ㅜㅜ 핵황달 kernicterus 저산소증 hypoxia, hypoxemia 뇌염 encephalitis 수막 meninges 조산 preterm birth, premature birth 자궁내 발육지연 intrauterine growth retardation, dysmaturity, smallfordates 뇌출혈 cerebral hemorrhage 다태임신 multifetal gestation 감염 infection 주산기 가사 perinatal asphyxia 두경부 손상 head and neck damage 태반병리 placental pathology 지적장애 intellectual and developmental disabilities 경련 convulsion 시각장애 visual disturbance 청각장애 hearing impairment 구강운동장애 위장관장애 골다공증 osteoporosis 척추측만증 scoliosis 발달지연 developmental disability 근긴장도 이상 dystonia 비정상 운동 패턴 영아반사의 지속 보이타자세반사 알버타영아운동척도 alberta infant motor scale 영아운동능력평가 전체운동평가 보바스신경발달치료 bobath(Neurodevelopmental Treatment, 신경발달치료 ) 보이타치료 vojta therapy 보조기 brace, aid, assister, orthosis 보행기 walker 휠체어 wheelchair 섭식의자",작성일2021.05.24,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40603&docId=390560289&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문의료수급권 탈락 문의드립니다.,"안녕하세요, 이번에 아버지께서 의료수급자 탈락이 되었다는 연락을 받고 문의를 드립니다. 아버지, 어머니 두 분이 세대를 이루어 살고 계시다가 아버지께서 치매와 병환으로 요양원에서 생활하신지 1년 4개월 가량 되었습니다. (요양원으로 전입) 어머니는 거동이 불편하여 휠체어 생활만 가능하셔서 아버지를 케어하지 못하고요. (자택에 거주) (현재 아버지는 장루 장애 판정 신청 중으로 장애등급 3급을 받게 되실 것 같습니다.) 저는 딸로 혼인하여 3인 가족으로 두 분과 따로 거주 중입니다. 저와 남편의 합산 소득은 작년까지 834만원 미만이었다가 올해 연봉 인상으로 초과하게 됐습니다. 주택 및 차량은 합산 9억 미만이며, 금융재산은 없습니다. 수년 간 시댁에 생활비를 드리고 있는데 (30만원), 이를 증액하여 드리고(50만원) 이체 내역 등을 관련 기관에 제출하면 부양비 차감이 되어 의료수급자로 다시 선정 될 수 있을지요? 딸인 제가 중대 질병이 있는 지라 병원비 지출이 상당하고, 자녀의 교육비 등 지출이 있는데 이 부분은 부양비에서 차감되지는 않는 것인지요? * 900만원(합산 소득액) - 398만원 (3인가구) - 50만원(시댁생활비) x 15% = 693,000원 부양비 발생 위 내용처럼 계산할 수 있는 내용인지 한 번 살펴주시길 부탁드립니다. 감사합니다.",작성일2021.05.24,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=390535585&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
